participant_id,participant_hash,item_order,latin_square_group,experimental_condition,word_position,word_index_0based,word,word_raw,cs_point,first_pass_reading_time,first_pass_move_direction,num_reread_events,rereading_time,total_reading_time,had_regression,newline_flag,parse_status,suitability,error_rate,accuracy
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,1,0.0,Ondan,Ondan,0,1251.0,forward,0,0.0,1251.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,2,1.0,"sonra,",sonra%2C,0,212.0,forward,0,0.0,212.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,3,2.0,ich,ich,1,350.0,forward,0,0.0,350.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,4,3.0,aber,aber,0,212.0,forward,0,0.0,212.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,5,4.0,immer,immer,0,219.0,forward,0,0.0,219.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,6,5.0,noch,noch,0,260.0,forward,0,0.0,260.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,7,6.0,so,so,0,473.0,forward,0,0.0,473.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,8,7.0,eine,eine,0,330.0,forward,0,0.0,330.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,9,8.0,bloß,bloß,0,306.0,forward,0,0.0,306.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,10,9.0,keine,keine,0,362.0,forward,0,0.0,362.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,11,10.0,Angst,Angst,0,538.0,forward,0,0.0,538.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,12,11.0,"zeigen,",zeigen%2C,0,480.0,forward,0,0.0,480.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,13,12.0,sonst,sonst,0,417.0,forward,0,0.0,417.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,14,13.0,denkt,denkt,0,405.0,forward,1,590.0,995.0,True,False,ok,suitable,0.057692307692307696,0.9423076923076923
