participant_id,participant_hash,item_order,latin_square_group,experimental_condition,word_position,word_index_0based,word,word_raw,cs_point,first_pass_reading_time,first_pass_move_direction,num_reread_events,rereading_time,total_reading_time,had_regression,newline_flag,parse_status,suitability,error_rate,accuracy,surprisal,surprisal_z,log_reading_time,surprisal_raw
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,2,1.0,"sonra,",sonra%2C,0,212.0,forward,0,0.0,212.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,32.45896537277408,1.3053900441935118,5.356586274672012,32.45896537277408
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,3,2.0,ich,ich,1,350.0,forward,0,0.0,350.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,28.69820286016136,0.9317100003041318,5.857933154483459,28.69820286016136
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,4,3.0,aber,aber,0,212.0,forward,0,0.0,212.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,19.0530470689716,-0.026660071532109232,5.356586274672012,19.0530470689716
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,5,4.0,immer,immer,0,219.0,forward,0,0.0,219.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,9.011010354038754,-1.0244653591007422,5.389071729816501,9.011010354038754
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,6,5.0,noch,noch,0,260.0,forward,0,0.0,260.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,10.165250589455788,-0.9097767712457554,5.560681631015528,10.165250589455788
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,7,6.0,so,so,0,473.0,forward,0,0.0,473.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,14.79108170832482,-0.45014105382765673,6.159095388491933,14.79108170832482
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,8,7.0,eine,eine,0,330.0,forward,0,0.0,330.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,20.898275071441606,0.15668702327549924,5.799092654460526,20.898275071441606
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,9,8.0,bloß,bloß,0,306.0,forward,0,0.0,306.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,31.44072351421453,1.2042146413010293,5.723585101952381,31.44072351421453
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,10,9.0,keine,keine,0,362.0,forward,0,0.0,362.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,21.74723922227112,0.2410425123760554,5.8916442118257715,21.74723922227112
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,11,10.0,Angst,Angst,0,538.0,forward,0,0.0,538.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,18.208177481093827,-0.11060871322914492,6.2878585601617845,18.208177481093827
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,12,11.0,"zeigen,",zeigen%2C,0,480.0,forward,0,0.0,480.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,23.290578510445,0.39439308716158133,6.173786103901937,23.290578510445
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,13,12.0,sonst,sonst,0,417.0,forward,0,0.0,417.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,17.512363192927044,-0.17974679702704544,6.0330862217988015,17.512363192927044
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,14,13.0,denkt,denkt,0,405.0,forward,1,590.0,995.0,True,False,ok,suitable,0.0576923076923076,0.9423076923076924,45.80604359620218,2.6315936424262008,6.003887067106539,45.80604359620218
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,15,14.0,şüphelenirler,şüphelenirler,1,259.0,forward,2,2133.0,2392.0,True,False,ok,suitable,0.0576923076923076,0.9423076923076924,64.43680859182886,4.482799364114226,5.556828061699537,64.43680859182886
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,16,15.0,bir,bir,0,920.0,backward,1,702.0,1622.0,True,False,ok,suitable,0.0576923076923076,0.9423076923076924,18.805725010141227,-0.0512346936967881,6.824373670043086,18.805725010141227
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,17,20.0,şeye,şeye,0,559.0,forward,0,0.0,559.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,28.85873009061549,0.9476604418224043,6.326149473155099,28.85873009061549
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,18,21.0,weißt,weißt,1,405.0,forward,0,0.0,405.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,22.85657409961727,0.35126917632105886,6.003887067106539,22.85657409961727
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,19,22.0,du!,du!,0,563.0,forward,0,0.0,563.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,9.876824677069203,-0.9384355890354955,6.333279628139691,9.876824677069203
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,2,1.0,sonra,sonra,0,244.0,forward,0,0.0,244.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,24.74462165456849,0.5388709434715343,5.497168225293202,24.74462165456849
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,3,2.0,dedim,dedim,0,835.0,forward,0,0.0,835.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,23.36576107023497,0.4018634398221951,6.727431724850855,23.36576107023497
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,4,3.0,şimdi.,şimdi.,0,476.0,forward,0,0.0,476.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,36.43326154469808,1.7002873989116636,6.16541785423142,36.43326154469808
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,5,4.0,Vielleicht,Vielleicht,1,520.0,forward,0,0.0,520.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,29.96900330530476,1.0579803416307156,6.253828811575473,29.96900330530476
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,6,5.0,will,will,0,447.0,forward,0,0.0,447.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,15.391224111608436,-0.3905092002216979,6.102558594613569,15.391224111608436
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,7,6.0,"der,",der%2C,0,248.0,forward,0,0.0,248.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,17.539848772257333,-0.17701575180522633,5.5134287461649825,17.539848772257333
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,8,7.0,ich,ich,0,333.0,forward,0,0.0,333.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,23.618094015580887,0.42693595790207,5.808142489980444,23.618094015580887
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,9,8.0,total,total,0,282.0,forward,0,0.0,282.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,24.772617678406544,0.5416527079093169,5.641907070938114,24.772617678406544
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,10,9.0,bescheuert,bescheuert,0,292.0,forward,0,0.0,292.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,23.712092853236467,0.4362759493699931,5.676753802268282,23.712092853236467
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,11,10.0,vielleicht,vielleicht,0,655.0,forward,0,0.0,655.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,35.36310018763485,1.5939531271955047,6.484635235635252,35.36310018763485
